Year,Flood,feet
134,10.2278,33.557411800000004
135,11.229,36.842349
136,10.4596,34.317947600000004
137,10.941,35.897421
138,10.845,35.58244500000001
139,10.69,35.07389
140,10.5556,34.632923600000005
141,10.402,34.128962
142,11.1522,36.5903682
143,11.1906,36.7163586
144,10.8642,35.6454402
145,11.8064,38.736798400000005
146,11.1522,36.5903682
147,11.229,36.842349
148,12.6156,41.391783600000004
149,13.385,43.916185
150,12.7692,41.8957452
151,12.1918,40.0012958
152,11.4416,37.5398896
153,11.6144,38.1068464
154,10.9794,36.0234114
155,10.5346,34.5640226
156,10.7284,35.199880400000005
157,10.0742,33.0534502
158,10.402,34.128962
159,10.306,33.813986
160,10.3828,34.0659668
161,10.0166,32.864464600000005
162,9.959,32.675479
163,10.5748,34.6959188
164,12.6924,41.6437644
165,8.9002,29.201556200000002
166,8.9002,29.201556200000002
167,10.6516,34.9478996
168,10.6132,34.82190920000001
169,10.6516,34.9478996
170,10.3828,34.0659668
171,10.4788,34.3809428
172,10.9026,35.7714306
173,10.8244,35.514856400000006
174,10.6132,34.82190920000001
175,10.4212,34.191957200000004
176,10.8834,35.7084354
177,11.1714,36.6533634
178,12.1534,39.8753054
179,11.1714,36.6533634
180,10.845,35.58244500000001
181,10.306,33.813986
182,11.4224,37.4768944
183,10.594,34.758914
184,12.2302,40.1272862
185,12.3454,40.5052574
186,11.768,38.610808000000006
187,11.384,37.350904
188,12.3646,40.5682526
189,11.768,38.610808000000006
190,10.8052,35.451861199999996
191,10.3444,33.9399764
192,10.3444,33.9399764
193,10.3636,34.0029716
194,10.5172,34.506933200000006
195,10.5172,34.506933200000006
196,10.306,33.813986
197,10.3828,34.0659668
198,11.923,39.119363
199,11.9422,39.1823582
200,10.5364,34.5699284
201,11.229,36.842349
202,11.384,37.350904
203,11.384,37.350904
204,10.498,34.443937999999996
205,10.151,33.305431
206,11.768,38.610808000000006
207,10.2086,33.4944166
208,11.2482,36.9053442
209,10.5172,34.506933200000006
210,10.9602,35.960416200000004
211,11.4416,37.5398896
212,10.8642,35.6454402
213,10.7284,35.199880400000005
214,10.5556,34.632923600000005
215,12.1726,39.9383006
216,11.0562,36.275392200000006
217,11.0178,36.1494018
218,10.0934,33.1164454
219,10.6132,34.82190920000001
220,10.9602,35.960416200000004
221,10.8052,35.451861199999996
222,10.8052,35.451861199999996
223,10.8052,35.451861199999996
224,10.9218,35.8344258
225,10.2086,33.4944166
226,9.863,32.360503
227,9.9782,32.7384742
228,9.9974,32.8014694
229,8.8042,28.8865802
230,10.3252,33.8769812
231,9.4584,31.0330104
232,9.959,32.675479
233,9.9782,32.7384742
234,10.0166,32.864464600000005
235,10.055,32.990455
236,10.0934,33.1164454
237,11.229,36.842349
238,11.229,36.842349
239,10.7668,35.325870800000004
240,10.151,33.305431
241,10.5748,34.6959188
242,10.845,35.58244500000001
243,11.6528,38.2328368
244,11.48,37.66588
245,12.1726,39.9383006
246,12.2494,40.1902814
247,11.1138,36.4643778
248,12.3262,40.4422622
249,9.767,32.045527
250,10.055,32.990455
251,9.863,32.360503
252,10.9986,36.086406600000004
253,10.2278,33.557411800000004
254,9.073,29.768513000000002
255,10.0166,32.864464600000005
256,11.1714,36.6533634
257,10.845,35.58244500000001
258,10.69,35.07389
259,11.2098,36.7793538
260,10.845,35.58244500000001
261,10.306,33.813986
262,10.7092,35.1368852
263,10.306,33.813986
264,10.2086,33.4944166
265,10.786,35.388866
266,10.402,34.128962
267,8.689,28.508609
268,10.0934,33.1164454
269,10.0934,33.1164454
270,10.306,33.813986
271,10.7284,35.199880400000005
272,11.768,38.610808000000006
273,10.845,35.58244500000001
274,9.767,32.045527
275,9.767,32.045527
276,9.767,32.045527
277,9.9974,32.8014694
278,10.5364,34.5699284
279,10.6516,34.9478996
280,10.7284,35.199880400000005
281,10.247,33.620407
282,9.863,32.360503
283,9.7862,32.108522199999996
284,9.9974,32.8014694
285,10.69,35.07389
286,10.0358,32.9274598
287,10.3444,33.9399764
288,11.5184,37.7918704
289,11.229,36.842349
290,10.306,33.813986
291,11.325,37.157325
292,10.498,34.443937999999996
293,10.9218,35.8344258
294,10.845,35.58244500000001
295,9.5352,31.2849912
296,10.306,33.813986
297,10.6516,34.9478996
298,9.3816,30.781029600000004
299,9.612,31.536972000000002
300,9.767,32.045527
301,9.767,32.045527
302,9.073,29.768513000000002
303,10.306,33.813986
304,10.9986,36.086406600000004
305,11.768,38.610808000000006
306,12.558,41.202798
307,11.3442,37.2203202
308,10.69,35.07389
309,9.9206,32.549488600000004
310,9.324,30.592044
311,10.151,33.305431
312,10.5748,34.6959188
313,10.69,35.07389
314,11.923,39.119363
315,10.69,35.07389
316,10.7476,35.2628756
317,10.151,33.305431
318,10.69,35.07389
319,10.498,34.443937999999996
320,10.594,34.758914
321,10.151,33.305431
322,11.768,38.610808000000006
323,10.6516,34.9478996
324,10.402,34.128962
325,10.4212,34.191957200000004
326,11.037,36.212397
327,11.037,36.212397
328,11.229,36.842349
329,11.1714,36.6533634
330,11.2674,36.968339400000005
331,12.7884,41.958740399999996
332,12.0574,39.5603294
333,11.576,37.980856
334,12.3646,40.5682526
335,10.7476,35.2628756
336,10.845,35.58244500000001
337,10.845,35.58244500000001
338,11.1138,36.4643778
339,11.1138,36.4643778
340,10.845,35.58244500000001
341,10.6132,34.82190920000001
342,10.594,34.758914
343,10.845,35.58244500000001
344,10.9794,36.0234114
345,9.9974,32.8014694
346,11.2674,36.968339400000005
347,10.0358,32.9274598
348,10.4212,34.191957200000004
349,12.211,40.064291000000004
350,11.0754,36.3383874
351,10.5748,34.6959188
352,10.2278,33.557411800000004
353,12.307,40.379267000000006
354,10.3636,34.0029716
355,11.8448,38.8627888
356,10.498,34.443937999999996
357,10.498,34.443937999999996
358,10.498,34.443937999999996
359,10.0934,33.1164454
360,11.229,36.842349
361,10.1318,33.2424358
362,10.3444,33.9399764
363,10.2854,33.7463974
364,10.7284,35.199880400000005
365,10.8244,35.514856400000006
366,10.9986,36.086406600000004
367,10.7092,35.1368852
368,11.1906,36.7163586
369,11.1714,36.6533634
370,11.1138,36.4643778
371,11.7104,38.4218224
372,11.7104,38.4218224
373,11.576,37.980856
374,11.1714,36.6533634
375,11.1906,36.7163586
376,10.8052,35.451861199999996
377,11.3442,37.2203202
378,11.4992,37.728875200000004
379,11.4416,37.5398896
380,11.4224,37.4768944
381,10.9602,35.960416200000004
382,10.6324,34.8849044
383,10.5172,34.506933200000006
384,10.6516,34.9478996
385,11.8064,38.736798400000005
386,13.8472,45.43266320000001
387,12.2686,40.2532766
388,12.0766,39.6233246
389,12.0766,39.6233246
390,11.0754,36.3383874
391,12.019,39.434339
392,12.462,40.887822
393,12.6348,41.4547788
394,12.019,39.434339
395,11.7296,38.4848176
396,11.7296,38.4848176
397,11.4416,37.5398896
398,11.9806,39.3083486
399,12.75,41.832750000000004
400,12.75,41.832750000000004
401,12.1918,40.0012958
402,12.2302,40.1272862
403,12.1534,39.8753054
404,11.923,39.119363
405,11.8064,38.736798400000005
406,13.54,44.42474
407,11.9998,39.371343800000005
408,11.8832,38.9887792
409,12.654,41.517774
410,12.3838,40.631247800000004
411,12.9806,42.5893486
412,12.5196,41.0768076
413,12.7884,41.958740399999996
414,12.0766,39.6233246
415,12.4222,40.7572382
416,11.9998,39.371343800000005
417,11.9614,39.2453534
418,10.4404,34.2549524
419,11.325,37.157325
420,12.211,40.064291000000004
421,11.3058,37.0943298
422,11.5376,37.8548656
423,11.384,37.350904
424,10.8642,35.6454402
425,11.1138,36.4643778
426,11.7296,38.4848176
427,11.384,37.350904
428,10.845,35.58244500000001
429,10.0742,33.0534502
430,10.845,35.58244500000001
431,10.0934,33.1164454
432,10.0358,32.9274598
433,11.4224,37.4768944
434,10.9026,35.7714306
435,12.0766,39.6233246
436,11.8448,38.8627888
437,11.4224,37.4768944
438,11.5184,37.7918704
439,11.133,36.527373
440,11.5184,37.7918704
441,11.2098,36.7793538
442,11.7488,38.5478128
443,11.7872,38.6738032
444,11.923,39.119363
445,12.2686,40.2532766
446,11.037,36.212397
447,11.1138,36.4643778
448,11.0946,36.4013826
449,11.0946,36.4013826
450,12.6156,41.391783600000004
451,11.325,37.157325
452,11.6528,38.2328368
453,10.7668,35.325870800000004
454,11.1138,36.4643778
455,10.69,35.07389
456,11.1906,36.7163586
457,11.923,39.119363
458,10.9794,36.0234114
459,11.229,36.842349
460,11.6912,38.3588272
461,11.7872,38.6738032
462,11.6912,38.3588272
463,11.7872,38.6738032
464,10.9026,35.7714306
465,10.5556,34.632923600000005
466,10.9602,35.960416200000004
467,10.151,33.305431
468,11.037,36.212397
469,11.7872,38.6738032
470,12.1726,39.9383006
471,12.2878,40.3162718
472,12.1534,39.8753054
473,11.5376,37.8548656
474,11.6144,38.1068464
475,11.133,36.527373
476,11.325,37.157325
477,11.768,38.610808000000006
478,11.8256,38.7997936
479,11.4416,37.5398896
480,11.48,37.66588
481,11.4224,37.4768944
482,11.8832,38.9887792
483,11.325,37.157325
484,10.7668,35.325870800000004
485,10.2278,33.557411800000004
486,10.306,33.813986
487,9.228,30.277068
488,8.9578,29.390541800000005
489,9.7272,31.9149432
490,9.8822,32.4234982
491,10.4212,34.191957200000004
492,12.1918,40.0012958
493,10.845,35.58244500000001
494,10.9794,36.0234114
495,11.229,36.842349
496,11.229,36.842349
497,10.4212,34.191957200000004
498,10.4212,34.191957200000004
499,10.498,34.443937999999996
500,10.498,34.443937999999996
501,10.0358,32.9274598
502,10.3828,34.0659668
503,10.5748,34.6959188
504,11.4992,37.728875200000004
505,10.5364,34.5699284
506,9.9974,32.8014694
507,9.8822,32.4234982
508,9.9014,32.4864934
509,10.5364,34.5699284
510,9.767,32.045527
511,10.5364,34.5699284
512,10.69,35.07389
513,10.69,35.07389
514,11.2098,36.7793538
515,10.3636,34.0029716
516,9.228,30.277068
517,8.9194,29.2645514
518,10.69,35.07389
519,10.69,35.07389
520,10.845,35.58244500000001
521,10.845,35.58244500000001
522,11.0946,36.4013826
523,11.923,39.119363
524,11.229,36.842349
525,10.69,35.07389
526,10.9986,36.086406600000004
527,11.229,36.842349
528,10.69,35.07389
529,10.5748,34.6959188
530,9.767,32.045527
531,10.306,33.813986
532,10.69,35.07389
533,11.384,37.350904
534,11.3058,37.0943298
535,10.9602,35.960416200000004
536,10.9218,35.8344258
537,11.229,36.842349
538,10.4404,34.2549524
539,10.9986,36.086406600000004
540,10.4212,34.191957200000004
541,11.0754,36.3383874
542,10.6132,34.82190920000001
543,10.786,35.388866
544,10.6708,35.0108948
545,10.8052,35.451861199999996
546,11.1522,36.5903682
547,11.229,36.842349
548,11.5184,37.7918704
549,10.9794,36.0234114
550,10.5748,34.6959188
551,10.3444,33.9399764
552,10.8244,35.514856400000006
553,11.0562,36.275392200000006
554,10.69,35.07389
555,11.1522,36.5903682
556,11.8064,38.736798400000005
557,11.2482,36.9053442
558,11.9614,39.2453534
559,12.1342,39.8123102
560,11.7872,38.6738032
561,10.9218,35.8344258
562,11.6336,38.1698416
563,11.6336,38.1698416
564,11.6144,38.1068464
565,12.3262,40.4422622
566,11.384,37.350904
567,9.863,32.360503
568,10.845,35.58244500000001
569,10.402,34.128962
570,10.306,33.813986
